uniformed_stock_code,trade_date,open,high,low,close,vol,pe_ttm,pb,change,pct_chg,amount,date,volume,rsi_6,rsi_12,rsi_24,ma_5,ma_20,ma_60,macd,macd_signal,macd_histogram,boll_middle,boll_upper,boll_lower,kdj_k,kdj_d,kdj_j,volatility,volume_ma_5,volume_ma_20,volume_ratio,wr_14,rsi6_pct100,pettm_pct10y
600009.SH,20260323,28.32,28.32,27.2,27.37,195245.22,28.7808,1.6402,,,5436603.1509,20260323,195245.22,,,,,,,,,,,,,,,,,,,,,,
600009.SH,20260324,27.56,27.65,27.28,27.6,84268.74,29.0227,1.654,0.23000000000000043,0.8403361344537831,2324131.8492,20260324,84268.74,,,,,,,,,,,,,,,,,,,,,,
600009.SH,20260325,27.68,27.99,27.62,27.98,76418.32,29.4222,1.6767,0.379999999999999,1.376811594202895,2126721.8456,20260325,76418.32,,,,,,,,,,,,,,,,,,,,,,
600009.SH,20260326,27.98,28.18,27.57,27.59,68387.69,29.0121,1.6534,-0.39000000000000057,-1.3938527519656918,1900151.96665,20260326,68387.69,,,,,,,,,,,,,,,,,,,,,,
600009.SH,20260327,27.41,27.76,27.38,27.7,67274.94,29.1278,1.66,0.10999999999999943,0.3986951794128286,1853760.9717,20260327,67274.94,,,,,,,,,,,,,,,,,,,,,,
