uniformed_stock_code,trade_date,open,high,low,close,vol,pe_ttm,pb,change,pct_chg,amount,date,volume,rsi_6,rsi_12,rsi_24,ma_5,ma_20,ma_60,macd,macd_signal,macd_histogram,boll_middle,boll_upper,boll_lower,kdj_k,kdj_d,kdj_j,volatility,volume_ma_5,volume_ma_20,volume_ratio,wr_14,rsi6_pct100,pettm_pct10y
002304.SZ,20260323,49.99,50.0,48.6,48.74,72781.47,35.4761,1.5119,,,3592857.2665500003,20260323,72781.47,,,,,,,,,,,,,,,,,,,,,,
002304.SZ,20260324,49.21,49.76,48.75,49.69,52610.27,36.1676,1.5414,0.9499999999999957,1.9491177677472211,2601577.8515,20260324,52610.27,,,,,,,,,,,,,,,,,,,,,,
002304.SZ,20260325,49.8,50.07,49.55,50.02,34461.15,36.4077,1.5516,0.3300000000000054,0.6641175286778133,1719955.9965,20260325,34461.15,,,,,,,,,,,,,,,,,,,,,,
002304.SZ,20260326,50.2,50.99,49.86,49.88,50712.47,36.3058,1.5473,-0.14000000000000057,-0.2798880447820883,2537651.9988,20260326,50712.47,,,,,,,,,,,,,,,,,,,,,,
002304.SZ,20260327,49.63,51.06,49.61,50.8,61724.56,36.9755,1.5758,0.9199999999999946,1.8444266238973428,3099498.7804,20260327,61724.56,,,,49.826,,,,,,,,,,,,,54457.984,,1.133434539185292,,,
002304.SZ,20260328,49.63,51.06,49.61,50.8,61724.56,,,0.0,0.0,3099498.7804,20260328,61724.56,,,,50.238,,,,,,,,,,,,,52246.602,,1.1814081229627145,,,
