uniformed_stock_code,trade_date,open,high,low,close,vol,pe_ttm,pb,change,pct_chg,amount,date,volume,rsi_6,rsi_12,rsi_24,ma_5,ma_20,ma_60,macd,macd_signal,macd_histogram,boll_middle,boll_upper,boll_lower,kdj_k,kdj_d,kdj_j,volatility,volume_ma_5,volume_ma_20,volume_ratio,wr_14,rsi6_pct100,pettm_pct10y
600519.SH,20030102,3.3752841447243798,3.3752841447243798,3.269392877438909,3.2720401591210457,3565.3,19.8101,2.3935,,,11849.852670250048,20030102,3565.3,,,,,,,,,,,,,,,,,,,,,,
600519.SH,20030103,3.266745595756772,3.3011602576245505,3.2429200606175415,3.266745595756772,1743.68,19.778,2.3896,-0.005294563364273586,-0.16181229773462932,5696.158960409169,20030103,1743.68,,,,,,,,,,,,,,,,,,,,,,
600519.SH,20030106,3.253509187346088,3.2958656942602764,3.24424370145861,3.290571130896003,986.36,19.9223,2.407,0.02382553513923069,0.7293354943273838,3227.4095313506346,20030106,986.36,,,,,,,,,,,,,,,,,,,,,,
600519.SH,20030107,3.289247490054935,3.3038075393066872,3.2574801098692934,3.26012739155143,1450.5,19.7379,2.3848,-0.030443739344572673,-0.9251810136765841,4749.934132885016,20030107,1450.5,,,,,,,,,,,,,,,,,,,,,,
600519.SH,20030108,3.3104257435120292,3.3488113279030123,3.266745595756772,3.3488113279030123,1768.02,20.2749,2.4496,0.08868393635158212,2.7202598457166176,5886.832163501611,20030108,1768.02,,,,3.2876591210456523,,,,,,,,,,,,,1902.7720000000002,,0.9291812156159539,,,
600519.SH,20030109,3.3448404053798066,3.3991096798636105,3.311749384353097,3.3779314264065166,2602.57,20.4512,2.4709,0.029120098503504277,0.869565217391299,8748.242143126066,20030109,2602.57,,,,3.3088373745027466,,,,,,,,,,,,,1710.226,,1.5217696374631189,,,
600519.SH,20030110,3.3752841447243798,3.4282297783671147,3.3461640462208755,3.363371377154764,2346.38,20.363,2.4603,-0.01456004925175236,-0.43103448275862466,7905.723271713393,20030110,2346.38,73.79310344827584,,,3.3281625307823446,,,,,,,,,,,,,1830.7660000000003,,1.2816383961685982,,,
600519.SH,20030113,3.335574919492328,3.3752841447243798,3.335574919492328,3.358076813790491,1403.8,20.331,2.4564,-0.0052945633642731416,-0.1574183392365093,4698.27415159121,20030113,1403.8,71.42857142857159,,,3.3416636673612414,,,,,,,,,,,,,1914.2540000000001,,0.7333405075815435,,,
600519.SH,20030114,3.3554295321083543,3.5367683273347224,3.3329276378101915,3.493088179579466,9588.25,21.1484,2.5552,0.1350113657889751,4.020496649586122,32832.64997454538,20030114,9588.25,85.57368208170429,,,3.388255824966849,,,,,,,,,85.13513513513527,85.13513513513527,85.13513513513527,,3541.804,,2.7071656139074887,,,
600519.SH,20030115,3.5063245879901497,3.597655806023868,3.493088179579466,3.5341210456525856,11451.68,21.3968,2.5852,0.0410328660731194,1.1746873815839185,40312.46522693692,20030115,11451.68,87.78008725246117,,,3.425317768516764,,,,,,,,,84.11994083635881,84.79673703554312,82.76634843799019,,5478.536,,2.0902810531864717,,,
600519.SH,20030116,3.548681094904338,3.593684883500663,3.5288264822883124,3.5883903201363894,7359.08,21.7254,2.6249,0.05426927448380381,1.535580524344571,26261.13975449896,20030116,7359.08,90.16692336816882,,,3.467409547262739,,,,,,,,,88.53938627542522,86.04428678217047,93.5295852619347,,6429.838000000001,,1.1445202818484694,,,
600519.SH,20030117,3.597655806023868,3.597655806023868,3.530150123129381,3.531473763970449,3795.18,21.3808,2.5832,-0.05691655616594016,-1.5861305791220852,13528.164980725516,20030117,3795.18,72.37545977659279,,,3.5010300246258756,,,,,,,,,85.87450654418751,85.98769336950949,85.64813289354356,,6719.598000000001,,0.5647927152785032,,,
600519.SH,20030120,3.520884637241902,3.520884637241902,3.475880848645577,3.5129427921954917,2070.9,21.2686,2.5697,-0.01853097177495755,-0.5247376311844126,7283.17661181095,20030120,2070.9,67.1952890018452,73.94736842105269,,3.5320032203068754,,,,,,,,,82.04967102945835,84.6750192561591,76.79897457605685,,6853.018000000001,,0.3021880286904251,,,
600519.SH,20030121,3.51426643303656,3.5738302708846375,3.507648228831218,3.51426643303656,4787.44,21.2766,2.5707,0.0013236408410683964,0.03767897513187676,16824.33969217655,20030121,4787.44,67.3953147777832,74.02194656488555,,3.5362388709982944,,,,,,,,,78.31089179741669,82.5536434365783,69.82538851909348,,5892.856000000002,,0.8124142181651814,-23.50746268656715,,
600519.SH,20030122,3.507648228831218,3.507648228831218,3.4811754120098506,3.486469975374124,1633.1,21.1083,2.5503,-0.02779645766243588,-0.7909604519773957,5711.047219643872,20030122,1633.1,58.418886534035856,69.46637902963211,,3.5267086569426014,,,,,,,,,71.54059453161115,78.88262713492257,56.856529324988315,,3929.140000000001,,0.41563802765999674,-31.343283582089494,,
600519.SH,20030123,3.4811754120098506,3.507648228831218,3.4811754120098506,3.4877936162151926,2167.49,21.1163,2.5513,0.0013236408410683964,0.0379650721336374,7552.5853394937485,20030123,2167.49,58.73296565604028,69.56368585676776,,3.5065893161583617,,,,,,,,,67.19372968774078,74.98632798586198,51.6085330914984,,2890.822,,0.7497832796346505,-31.086142322097317,,
600519.SH,20030124,3.4811754120098506,3.5050009471490813,3.4811754120098506,3.494411820420534,2441.19,21.1564,2.5561,0.006618204205341538,0.18975332068310097,8514.366897968366,20030124,2441.19,60.52212086389398,70.08371917344088,,3.499176927448379,,,,,,,,,65.1291531251605,71.70060303229482,51.98625331089187,,2620.0240000000003,,0.9317433733431448,-30.350194552529196,,
600519.SH,20030127,3.4824990528509185,3.5605938624739535,3.4824990528509185,3.548681094904338,3955.68,21.485,2.5958,0.05426927448380381,1.5530303030303048,13906.549343436254,20030127,3955.68,72.3276583943294,74.04996375908341,,3.506324587990149,,,,,,,,,63.3469716486577,68.91605923774911,52.20879647047488,,2996.9800000000005,,1.3198886879458653,-14.800000000000004,,
600519.SH,20030128,3.54735745406327,3.5738302708846375,3.531473763970449,3.552652017427543,3494.96,21.509,2.5987,0.003970922523205189,0.11189854531891189,12407.124551240766,20030128,3494.96,73.03566976813603,74.32171025009787,,3.5140017048683463,,,,,,,,,63.24580718606164,67.02597522051995,55.685471117145,,2738.4840000000013,,1.2762389701747385,-15.740740740740733,,
600519.SH,20030129,3.552652017427543,3.5738302708846375,3.5407392498579275,3.5579465807918167,3302.19,21.5411,2.6026,0.005294563364273586,0.14903129657228156,11740.273792526994,20030129,3302.19,74.09609381001174,74.70697043202654,,3.528297025951886,3.4419956431142262,,,,,3.4419956431142262,3.6593895380100046,3.224601748218448,64.62763957331646,66.22653000478545,61.42985871037848,,3072.302000000002,3595.687500000001,1.0748259773941486,-14.999999999999982,,
600519.SH,20030210,3.55529929910968,3.55529929910968,3.507648228831218,3.520884637241902,1693.78,21.3167,2.5755,-0.037061943549914655,-1.0416666666666639,5992.749413856791,20030210,1693.78,55.69685402033671,67.02755743149626,,3.534915230157229,3.454437867020269,,,,,3.454437867020269,3.6596416466298765,3.2492340874106613,58.40040836419294,63.61782279125461,47.9655795100696,0.20652112986938395,2977.560000000002,3502.1115000000004,0.5688483187576401,-28.999999999999957,,
600519.SH,20030211,3.4917645387383973,3.531473763970449,3.4917645387383973,3.5288264822883124,821.5,21.3647,2.5813,0.007941845046410378,0.2255639097744382,2883.707761886721,20030211,821.5,58.355938356215425,67.80128351823558,,3.5417981625307844,3.4675419113468458,,,,,3.4675419113468458,3.6559106527375187,3.279173169956173,56.07646271898577,61.10403610049833,46.021315955960674,0.20568438151831764,2653.6220000000017,3456.002500000001,0.30957687266686795,-25.99999999999993,,
600519.SH,20030212,3.5341210456525856,3.5672120666792955,3.507648228831218,3.5579465807918167,1477.3,21.5411,2.6026,0.029120098503504277,0.8252063015753888,5238.555752273158,20030212,1477.3,67.05606689185824,70.56422440877104,,3.543651259708281,3.480910683841637,,,,,3.480910683841637,3.6545158561316673,3.3073055115516063,65.00335609837141,62.40380943312268,70.20244942886889,0.20590742543455495,2157.946000000002,3480.549500000001,0.6845861759284053,-32.6086956521739,,
600519.SH,20030213,3.55529929910968,3.569859348361432,3.5275028414472436,3.5275028414472436,2718.32,21.3567,2.5803,-0.030443739344573117,-0.8556547619047697,9626.66135735935,20030213,2718.32,53.13075383587762,64.27405357723543,,3.5386214245122205,3.4942794563364274,,,,,3.4942794563364274,3.6360855666876737,3.352473345985181,60.00223739891411,61.60328542171982,56.800141353302706,0.20535708005122652,2002.6180000000022,3543.9405000000015,1.3573831854102965,-57.60869565217418,,
600519.SH,20030214,3.520884637241902,3.5725066300435686,3.520884637241902,3.5579465807918167,1904.75,21.5411,2.6026,0.030443739344573117,0.8630393996247735,6741.701881274863,20030214,1904.75,62.48059234773634,67.44031402916517,69.35483870967745,3.5386214245122205,3.504736218980868,,,,,3.504736218980868,3.6322121094944886,3.3772603284672473,67.62053921832364,63.609036687254424,75.64354428046208,0.18829711499413443,1723.1300000000017,3550.777000000001,1.1054012175517798,-32.6086956521739,,
600519.SH,20030217,3.5341210456525856,3.5632411441560903,3.510295510513355,3.51426643303656,1567.76,21.2766,2.5707,-0.04368014775525664,-1.2276785714285703,5525.089976794847,20030217,1567.76,46.507021351389504,59.224693351036024,65.32364597093795,3.53729778367115,3.51155296931237,,0.050169247992642774,0.0566991449802933,-0.013059793975301048,3.51155296931237,3.62498358349539,3.39812235512935,56.674562377433205,61.297545250647346,47.42859663100492,0.19433206361399305,1697.9260000000008,3499.0365000000006,0.9233382373554555,-60.81081081081091,,
