uniformed_stock_code,trade_date,open,high,low,close,vol,pe_ttm,pb,change,pct_chg,amount,date,volume,rsi_6,rsi_12,rsi_24,ma_5,ma_20,ma_60,macd,macd_signal,macd_histogram,boll_middle,boll_upper,boll_lower,kdj_k,kdj_d,kdj_j,volatility,volume_ma_5,volume_ma_20,volume_ratio,wr_14,rsi6_pct100,pettm_pct10y
000568.SZ,20260323,104.0,104.15,102.04,102.44,86415.29,11.927,3.1624,,,8919786.2338,20260323,86415.29,,,,,,,,,,,,,,,,,,,,,,
000568.SZ,20260324,103.64,103.8,101.88,103.39,54012.55,12.0377,3.1918,0.9500000000000028,0.9273721202655241,5591109.11325,20260324,54012.55,,,,,,,,,,,,,,,,,,,,,,
000568.SZ,20260325,103.65,103.88,103.0,103.84,50712.09,12.09,3.2057,0.45000000000000284,0.4352451881226451,5261125.77705,20260325,50712.09,,,,,,,,,,,,,,,,,,,,,,
000568.SZ,20260326,103.5,104.38,101.78,101.9,73552.26,11.8642,3.1458,-1.9399999999999977,-1.8682588597842813,7553817.102,20260326,73552.26,,,,,,,,,,,,,,,,,,,,,,
000568.SZ,20260327,101.4,104.44,101.2,103.78,76475.66,12.0831,3.2038,1.8799999999999955,1.8449460255152064,7845637.959400001,20260327,76475.66,,,,,,,,,,,,,,,,,,,,,,
