uniformed_stock_code,trade_date,open,high,low,close,vol,pe_ttm,pb,change,pct_chg,amount,date,volume,rsi_6,rsi_12,rsi_24,ma_5,ma_20,ma_60,macd,macd_signal,macd_histogram,boll_middle,boll_upper,boll_lower,kdj_k,kdj_d,kdj_j,volatility,volume_ma_5,volume_ma_20,volume_ratio,wr_14,rsi6_pct100,pettm_pct10y
002594.SZ,20110630,6.984348709482841,8.314549668243437,6.984348709482841,8.079621575288105,562925.34,55.166,3.2017,,,4239945.29715229,20110630,562925.34,,,,,,,,,,,,,,,,,,,,,,
002594.SZ,20110701,8.181212101971491,8.889171084796343,7.936759897139592,8.889171084796343,335612.79,60.6935,3.5224,0.8095495095082388,10.019646365422402,2864519.463840122,20110701,335612.79,,,,,,,,,,,,,,,,,,,,,,
002594.SZ,20110704,9.168545033175656,9.778088193275975,9.073303914409982,9.778088193275975,219645.91,66.7628,3.8747,0.8889171084796317,9.99999999999997,2080775.2482301022,20110704,219645.91,,,,,,,,,,,,,,,,,,,,,,
002594.SZ,20110705,10.406679577129433,10.755897012603576,10.124130924791263,10.49239658401854,381080.83,71.64,4.1577,0.7143083907425645,7.305194805194819,3982118.644861742,20110705,381080.83,,,,,,,,,,,,,,,,,,,,,,
002594.SZ,20110706,10.413028985047143,11.2860725737325,10.193974411886092,10.603511222578494,312967.19,72.3986,4.2018,0.11111463855995396,1.059001512859301,3288743.766151306,20110706,312967.19,,,,9.56855773199149,,,,,,,,,,,,,362446.41199999995,,0.8634854136726839,,,
002594.SZ,20110707,10.50827010381282,10.784469348233277,10.343185497952316,10.663830597796755,226450.17,72.8105,4.2257,0.060319375218261584,0.5688622754491083,2397212.901568304,20110707,226450.17,,,,10.085399536493219,,,,,,,,,,,,,295151.3779999999,,0.7672339920432291,,,
002594.SZ,20110708,10.603511222578494,10.686053525508743,10.114606812914696,10.498745991936252,175064.35,71.6833,4.1603,-0.16508460586050333,-1.5480797856504895,1847126.4713959172,20110708,175064.35,93.99538106235566,,,10.407314517921202,,,,,,,,,,,,,263041.68999999994,,0.6655384171231565,,,
002594.SZ,20110711,10.413028985047143,10.673354709673324,10.320962570240324,10.422553096923712,130967.33,71.1631,4.1301,-0.07619289501253945,-0.725733293014811,1364390.277135782,20110711,130967.33,90.97004917299958,,,10.536207498650748,,,,,,,,,,,,,245305.974,,0.5338937648538474,,,
002594.SZ,20110712,10.311438458363757,10.359059017746596,9.90507635163021,10.003492174354742,180603.53,68.3018,3.964,-0.41906092256897054,-4.020712762717028,1834474.0919870473,20110712,180603.53,75.03133987169089,,,10.43842661671799,,,,,,,,,70.18450184501845,70.18450184501845,70.18450184501845,,205210.5139999999,,0.880089067950973,,,
002594.SZ,20110713,9.784437601193687,9.93682339121877,9.689196482428011,9.901901647671355,167815.24,67.6082,3.9238,-0.10159052668338653,-1.0155506188511558,1651833.8728848533,20110713,167815.24,71.39248677397175,,,10.298104701736563,,,,,,,,,66.34732982400914,68.90544450468201,61.23110046266339,,176180.12399999998,,0.9525208416813239,,,
002594.SZ,20110714,9.901901647671355,10.022540398107877,9.31140671132417,9.52411187656751,193804.77,65.0287,3.774,-0.3777897711038456,-3.815325424815656,1882427.0415410013,20110714,193804.77,58.69059127814551,,,10.070160957490716,,,,,,,,,51.02256230256753,62.94448377064384,27.178719366414896,,169651.044,,1.1423729876958493,,,
002594.SZ,20110715,9.460617797390396,9.581256547826916,9.247912632147052,9.46379250134925,139468.1,64.6169,3.7501,-0.06031937521825981,-0.633333333333322,1319675.7739928253,20110715,139468.1,56.755885989780275,,,9.863170259373314,,,,,,,,,37.54567497222052,54.4782141711694,3.680596574322749,,162531.79400000005,,0.8580973394042519,,,
002594.SZ,20110718,9.457443093431538,10.349534905870028,9.43204546176069,10.1717514841741,313659.28,69.4507,4.0307,0.7079589828248505,7.480711170748059,3078439.5190958446,20110718,313659.28,70.46729464118484,73.2862190812721,,9.813009936823395,,,,,,,,,40.1394842493931,49.698637530577294,21.021177687024718,,199070.18400000007,,1.5756215908254745,,,
002594.SZ,20110719,9.873329312041651,9.981269246642752,9.492364836978952,9.53998539636179,160857.1,65.1371,3.7803,-0.631766087812311,-6.210986267166038,1561384.7526905616,20110719,160857.1,52.605788877734426,63.538127332479256,,9.720308581224804,,,,,,,,,33.09574432053204,44.164339793895536,10.958553373805046,,195120.89800000013,,0.8243970873893779,-40.590405904059054,,
002594.SZ,20110720,9.682847074510304,9.92094987142449,9.552684212197212,9.651100034921743,110172.85,65.8958,3.8244,0.11111463855995396,1.164725457570712,1065038.0273976952,20110720,110172.85,55.012471480090085,64.44551976812511,,9.670148258674882,,,,,,,,,31.408936243121445,39.91253861030417,14.401731508756,,183592.4200000001,,0.6000947642609643,-48.815165876777286,,
002594.SZ,20110721,9.53998539636179,9.555858916156067,9.209816184640784,9.25743674402362,100731.27,63.2079,3.6684,-0.39366329089812346,-4.07894736842105,946744.1024635702,20110721,100731.27,45.24468836748147,58.79083956961948,,9.6168132321661,,,,,,,,,22.023889527229144,33.94965558261249,-1.8276425835375534,,164977.72000000012,,0.610574991580681,-91.67862266857965,,
002594.SZ,20110722,9.270135559859042,9.397123718213278,9.146322105463666,9.33362963903616,61436.71,63.7281,3.6986,0.07619289501253945,0.8230452674897051,571477.0637163084,20110722,61436.71,47.41329898877414,59.540414180016995,,9.590780659703483,,,,,,,,,19.83093507748956,29.243415414238182,1.0059744039923189,,149371.4420000001,,0.4113015793206305,-91.24629080118699,,
002594.SZ,20110725,9.209816184640784,9.254262040064765,8.73043588685355,8.781231150195245,85728.78,59.9565,3.4797,-0.5523984888409146,-5.918367346938766,771175.2694688721,20110725,85728.78,35.26285704605186,52.05207186207077,,9.312676592907712,,,,,,,,,14.266375018979984,24.25106861581878,-5.703012174697612,,103785.34199999999,,0.8260201137073866,-98.01242236024842,,
002594.SZ,20110726,8.787580558112957,8.984412203562018,8.673291215594146,8.895520492714054,54683.34,60.7368,3.525,0.11428934251880918,1.3015184381778633,483485.5135083654,20110726,54683.34,39.135357474412245,53.375587341894175,,9.18378361217816,,,,,,,,,13.930108598511893,20.810748610049817,0.16882857543604501,,82550.58999999994,,0.6624221583395108,-89.47368421052634,,
002594.SZ,20110727,8.857424045207784,9.305057303406455,8.698688847264993,9.270135559859042,99175.67,63.2946,3.6734,0.3746150671449886,4.211277658815131,898906.434648719,20110727,99175.67,50.7283553706118,57.56410730248448,,9.107590717165625,9.66110035239214,,,,,9.66110035239214,11.022608372268373,8.299592332515907,21.155425934361446,20.925641051487027,21.614995700110285,,80351.15399999991,200642.5275,1.2342781038340795,-70.34700315457413,,
002594.SZ,20110728,9.079653322327694,9.111400361916251,8.860598749166641,9.016159243150575,57659.46,61.5605,3.5728,-0.2539763167084672,-2.7397260273972637,521697.3903933458,20110728,57659.46,43.922171051639666,53.97771145114291,,9.05933521699102,9.707927235785263,,,,,9.707927235785263,10.902878214924534,8.512976256645992,20.921799107756094,20.924360403576713,20.916676516114855,0.7585839249102244,71736.7919999999,175379.2335,0.8037641270604919,-82.85714285714292,,
002594.SZ,20110729,9.019333947109432,9.270135559859042,8.892345788755199,8.943141052096893,51224.94,61.062,3.5438,-0.07301819105368246,-0.8098591549295576,460063.35204292205,20110729,51224.94,41.97902961154705,52.9431819056556,,8.981237499603168,9.710625734150293,,,,,9.710625734150293,10.898390849553117,8.522860618747469,20.82488872555909,20.891203177570837,20.6922598215356,0.6785577688768156,69694.4379999999,161159.841,0.7349932285844687,-83.99246704331446,,
002594.SZ,20110801,8.908219308549478,9.390774310295564,8.889171084796343,9.24156322422934,83125.28,63.0995,3.6621,0.29842217213244737,3.3368832090876674,754352.8774881742,20110801,83125.28,52.32346053123743,56.647679822693746,,9.073303914409985,9.68379948569796,,,,,9.68379948569796,10.888374543512205,8.479224427883716,29.06561708082224,23.61600781198797,39.96483561849078,0.5896494466624161,69173.7379999999,154333.80949999997,1.201688421117276,-66.09848484848489,,
002594.SZ,20110802,9.098701546080829,10.146353852503257,8.955839867932315,9.727292929934285,173749.21,66.416,3.8546,0.48572970570494434,5.255925798694621,1635500.8338359946,20110802,173749.21,64.63768629528754,61.96445803614696,,9.239658401854035,9.645544302993747,,,,,9.645544302993747,10.792174023674784,8.49891458231271,43.22765276652514,30.153222796833692,69.37651270590806,0.5602559556039669,92986.91199999992,143967.22849999997,1.8685340362738374,-37.12121212121209,,
